Marketing Year,Week No,Commodity,Flow,Country,Port,Tons
2019/20,6,White Maize,RSA Export,NAMIBIA,,1645
2019/20,6,Yellow Maize,RSA Export,BOTSWANA,,1965
2019/20,6,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1668
2019/20,6,Yellow Maize,RSA Export,MOZAMBIQUE,,100
2019/20,6,Yellow Maize,RSA Export,NAMIBIA,,1091
2019/20,7,White Maize,RSA Export,BOTSWANA,,3778
2019/20,7,White Maize,RSA Export,ESWATINI (SWAZILAND),,68
2019/20,7,White Maize,RSA Export,MOZAMBIQUE,,841
2019/20,7,White Maize,RSA Export,NAMIBIA,,1927
2019/20,7,Yellow Maize,Export per Harbour,,Durban,490
2019/20,7,Yellow Maize,Import for RSA,ARGENTINA,,23772
2019/20,7,Yellow Maize,Import per Harbour,,Cape Town,23772
2019/20,7,Yellow Maize,RSA Export,BOTSWANA,,1724
2019/20,7,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1897
2019/20,7,Yellow Maize,RSA Export,"KOREA, REP OF",,490
2019/20,7,Yellow Maize,RSA Export,LESOTHO,,23
2019/20,7,Yellow Maize,RSA Export,MOZAMBIQUE,,938
2019/20,7,Yellow Maize,RSA Export,NAMIBIA,,579
2019/20,8,White Maize,RSA Export,BOTSWANA,,3844
2019/20,8,White Maize,RSA Export,ESWATINI (SWAZILAND),,803
2019/20,8,White Maize,RSA Export,MOZAMBIQUE,,538
2019/20,8,White Maize,RSA Export,NAMIBIA,,2320
2019/20,8,Yellow Maize,Export per Harbour,,Durban,483
2019/20,8,Yellow Maize,RSA Export,BOTSWANA,,1397
2019/20,8,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1403
2019/20,8,Yellow Maize,RSA Export,"KOREA, REP OF",,483
2019/20,8,Yellow Maize,RSA Export,MOZAMBIQUE,,653
2019/20,8,Yellow Maize,RSA Export,NAMIBIA,,1344
2019/20,9,White Maize,RSA Export,BOTSWANA,,4078
2019/20,9,White Maize,RSA Export,ESWATINI (SWAZILAND),,993
2019/20,9,White Maize,RSA Export,LESOTHO,,52
2019/20,9,White Maize,RSA Export,MOZAMBIQUE,,885
2019/20,9,White Maize,RSA Export,NAMIBIA,,2173
2019/20,9,Yellow Maize,Export per Harbour,,Durban,484
2019/20,9,Yellow Maize,RSA Export,BOTSWANA,,1817
2019/20,9,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1679
2019/20,9,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,484
2019/20,9,Yellow Maize,RSA Export,LESOTHO,,36
2019/20,9,Yellow Maize,RSA Export,MOZAMBIQUE,,1880
2019/20,9,Yellow Maize,RSA Export,NAMIBIA,,1158
2019/20,10,White Maize,Export per Harbour,,Durban,24140
2019/20,10,White Maize,RSA Export,BOTSWANA,,2260
2019/20,10,White Maize,RSA Export,ESWATINI (SWAZILAND),,645
2019/20,10,White Maize,RSA Export,ETHIOPIA,,24140
2019/20,10,White Maize,RSA Export,MOZAMBIQUE,,1891
2019/20,10,White Maize,RSA Export,NAMIBIA,,2396
2019/20,10,Yellow Maize,RSA Export,BOTSWANA,,1173
2019/20,10,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2423
2019/20,10,Yellow Maize,RSA Export,MOZAMBIQUE,,402
2019/20,10,Yellow Maize,RSA Export,NAMIBIA,,2009
2019/20,11,White Maize,Export per Harbour,,Durban,14360
2019/20,11,White Maize,RSA Export,BOTSWANA,,3739
2019/20,11,White Maize,RSA Export,ESWATINI (SWAZILAND),,137
2019/20,11,White Maize,RSA Export,ETHIOPIA,,14360
2019/20,11,White Maize,RSA Export,MOZAMBIQUE,,1254
2019/20,11,White Maize,RSA Export,NAMIBIA,,3507
2019/20,11,Yellow Maize,Import for RSA,ARGENTINA,,22146
2019/20,11,Yellow Maize,Import per Harbour,,Cape Town,22146
2019/20,11,Yellow Maize,RSA Export,BOTSWANA,,1957
2019/20,11,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1810
2019/20,11,Yellow Maize,RSA Export,LESOTHO,,18
2019/20,11,Yellow Maize,RSA Export,MOZAMBIQUE,,242
2019/20,11,Yellow Maize,RSA Export,NAMIBIA,,1322
2019/20,12,White Maize,RSA Export,BOTSWANA,,2677
2019/20,12,White Maize,RSA Export,LESOTHO,,879
2019/20,12,White Maize,RSA Export,MOZAMBIQUE,,962
2019/20,12,White Maize,RSA Export,NAMIBIA,,2959
2019/20,12,Yellow Maize,Import for RSA,ARGENTINA,,41723
2019/20,12,Yellow Maize,Import per Harbour,,Cape Town,41723
2019/20,12,Yellow Maize,RSA Export,BOTSWANA,,1386
2019/20,12,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2033
2019/20,12,Yellow Maize,RSA Export,LESOTHO,,21
2019/20,12,Yellow Maize,RSA Export,MOZAMBIQUE,,1612
2019/20,12,Yellow Maize,RSA Export,NAMIBIA,,1696
2019/20,13,White Maize,RSA Export,BOTSWANA,,4051
2019/20,13,White Maize,RSA Export,LESOTHO,,1934
2019/20,13,White Maize,RSA Export,MOZAMBIQUE,,1088
2019/20,13,White Maize,RSA Export,NAMIBIA,,3665
2019/20,13,Yellow Maize,Export per Harbour,,Durban,1465
2019/20,13,Yellow Maize,Import for RSA,ARGENTINA,,1264
2019/20,13,Yellow Maize,Import per Harbour,,Cape Town,1264
2019/20,13,Yellow Maize,RSA Export,BOTSWANA,,3143
2019/20,13,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1807
2019/20,13,Yellow Maize,RSA Export,"KOREA, REP OF",,1465
2019/20,13,Yellow Maize,RSA Export,MOZAMBIQUE,,549
2019/20,13,Yellow Maize,RSA Export,NAMIBIA,,2111
2019/20,14,White Maize,RSA Export,BOTSWANA,,4230
2019/20,14,White Maize,RSA Export,LESOTHO,,994
2019/20,14,White Maize,RSA Export,MOZAMBIQUE,,1603
2019/20,14,White Maize,RSA Export,NAMIBIA,,2801
2019/20,14,Yellow Maize,RSA Export,BOTSWANA,,1214
2019/20,14,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2686
2019/20,14,Yellow Maize,RSA Export,MOZAMBIQUE,,477
2019/20,14,Yellow Maize,RSA Export,NAMIBIA,,1074
2019/20,15,White Maize,RSA Export,BOTSWANA,,3271
2019/20,15,White Maize,RSA Export,LESOTHO,,1596
2019/20,15,White Maize,RSA Export,MOZAMBIQUE,,1276
2019/20,15,White Maize,RSA Export,NAMIBIA,,2158
2019/20,15,Yellow Maize,RSA Export,BOTSWANA,,1896
2019/20,15,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1936
2019/20,15,Yellow Maize,RSA Export,LESOTHO,,20
2019/20,15,Yellow Maize,RSA Export,MOZAMBIQUE,,66
2019/20,15,Yellow Maize,RSA Export,NAMIBIA,,1045
2019/20,16,White Maize,RSA Export,BOTSWANA,,3899
2019/20,16,White Maize,RSA Export,LESOTHO,,1430
2019/20,16,White Maize,RSA Export,MOZAMBIQUE,,1152
2019/20,16,White Maize,RSA Export,NAMIBIA,,2128
2019/20,16,Yellow Maize,Import for RSA,ARGENTINA,,29777
2019/20,16,Yellow Maize,Import per Harbour,,Cape Town,29777
2019/20,16,Yellow Maize,RSA Export,BOTSWANA,,2004
2019/20,16,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2086
2019/20,16,Yellow Maize,RSA Export,LESOTHO,,12
2019/20,16,Yellow Maize,RSA Export,MOZAMBIQUE,,855
2019/20,16,Yellow Maize,RSA Export,NAMIBIA,,1326
2019/20,16,Yellow Maize,RSA Export,ZIMBABWE,,705
2019/20,17,White Maize,Export per Harbour,,Durban,33000
2019/20,17,White Maize,RSA Export,BOTSWANA,,3656
2019/20,17,White Maize,RSA Export,LESOTHO,,2103
2019/20,17,White Maize,RSA Export,MOZAMBIQUE,,1222
2019/20,17,White Maize,RSA Export,NAMIBIA,,1618
2019/20,17,White Maize,RSA Export,SOMALIA,,22900
2019/20,17,White Maize,RSA Export,TANZANIA,,10100
2019/20,17,Yellow Maize,Import for RSA,ARGENTINA,,11671
2019/20,17,Yellow Maize,Import per Harbour,,Cape Town,11671
2019/20,17,Yellow Maize,RSA Export,BOTSWANA,,1719
2019/20,17,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2999
2019/20,17,Yellow Maize,RSA Export,MOZAMBIQUE,,812
2019/20,17,Yellow Maize,RSA Export,NAMIBIA,,1309
2019/20,17,Yellow Maize,RSA Export,ZIMBABWE,,808
2019/20,18,White Maize,RSA Export,BOTSWANA,,2952
2019/20,18,White Maize,RSA Export,LESOTHO,,2457
2019/20,18,White Maize,RSA Export,MOZAMBIQUE,,847
2019/20,18,White Maize,RSA Export,NAMIBIA,,2782
2019/20,18,Yellow Maize,Export per Harbour,,Durban,506
2019/20,18,Yellow Maize,Import for RSA,ARGENTINA,,28842
2019/20,18,Yellow Maize,Import per Harbour,,Cape Town,28842
2019/20,18,Yellow Maize,RSA Export,BOTSWANA,,2558
2019/20,18,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2284
2019/20,18,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,506
2019/20,18,Yellow Maize,RSA Export,LESOTHO,,704
2019/20,18,Yellow Maize,RSA Export,MOZAMBIQUE,,844
2019/20,18,Yellow Maize,RSA Export,NAMIBIA,,1659
2019/20,18,Yellow Maize,RSA Export,ZIMBABWE,,1435
2019/20,19,White Maize,RSA Export,BOTSWANA,,2991
2019/20,19,White Maize,RSA Export,LESOTHO,,1613
2019/20,19,White Maize,RSA Export,MOZAMBIQUE,,817
2019/20,19,White Maize,RSA Export,NAMIBIA,,2245
2019/20,19,Yellow Maize,Import for RSA,ARGENTINA,,11271
2019/20,19,Yellow Maize,Import per Harbour,,Cape Town,11271
2019/20,19,Yellow Maize,RSA Export,BOTSWANA,,1829
2019/20,19,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1212
2019/20,19,Yellow Maize,RSA Export,LESOTHO,,14
2019/20,19,Yellow Maize,RSA Export,MOZAMBIQUE,,940
2019/20,19,Yellow Maize,RSA Export,NAMIBIA,,1355
2019/20,19,Yellow Maize,RSA Export,ZIMBABWE,,1052
2019/20,20,White Maize,Export per Harbour,,Durban,5994
2019/20,20,White Maize,RSA Export,BOTSWANA,,4180
2019/20,20,White Maize,RSA Export,LESOTHO,,1906
2019/20,20,White Maize,RSA Export,MOZAMBIQUE,,6983
2019/20,20,White Maize,RSA Export,NAMIBIA,,3265
2019/20,20,Yellow Maize,Import for RSA,ARGENTINA,,38779
2019/20,20,Yellow Maize,Import per Harbour,,Cape Town,38779
2019/20,20,Yellow Maize,RSA Export,BOTSWANA,,1626
2019/20,20,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1618
2019/20,20,Yellow Maize,RSA Export,MOZAMBIQUE,,515
2019/20,20,Yellow Maize,RSA Export,NAMIBIA,,1628
2019/20,20,Yellow Maize,RSA Export,ZIMBABWE,,2438
2019/20,21,White Maize,Export per Harbour,,Durban,35521
2019/20,21,White Maize,RSA Export,BOTSWANA,,5120
2019/20,21,White Maize,RSA Export,ETHIOPIA,,35521
2019/20,21,White Maize,RSA Export,LESOTHO,,1294
2019/20,21,White Maize,RSA Export,MOZAMBIQUE,,1046
2019/20,21,White Maize,RSA Export,NAMIBIA,,3441
2019/20,21,Yellow Maize,Export per Harbour,,Durban,951
2019/20,21,Yellow Maize,RSA Export,BOTSWANA,,1703
2019/20,21,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2532
2019/20,21,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,629
2019/20,21,Yellow Maize,RSA Export,"KOREA, REP OF",,322
2019/20,21,Yellow Maize,RSA Export,MOZAMBIQUE,,1133
2019/20,21,Yellow Maize,RSA Export,NAMIBIA,,1605
2019/20,21,Yellow Maize,RSA Export,ZIMBABWE,,1731
2019/20,22,White Maize,RSA Export,BOTSWANA,,3607
2019/20,22,White Maize,RSA Export,LESOTHO,,210
2019/20,22,White Maize,RSA Export,MOZAMBIQUE,,1423
2019/20,22,White Maize,RSA Export,NAMIBIA,,3064
2019/20,22,Yellow Maize,Export per Harbour,,Durban,833
2019/20,22,Yellow Maize,RSA Export,BOTSWANA,,2585
2019/20,22,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1748
2019/20,22,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,833
2019/20,22,Yellow Maize,RSA Export,LESOTHO,,792
2019/20,22,Yellow Maize,RSA Export,MOZAMBIQUE,,950
2019/20,22,Yellow Maize,RSA Export,NAMIBIA,,1898
2019/20,22,Yellow Maize,RSA Export,ZIMBABWE,,1763
2019/20,23,White Maize,RSA Export,BOTSWANA,,3057
2019/20,23,White Maize,RSA Export,ESWATINI (SWAZILAND),,410
2019/20,23,White Maize,RSA Export,LESOTHO,,609
2019/20,23,White Maize,RSA Export,MOZAMBIQUE,,1484
2019/20,23,White Maize,RSA Export,NAMIBIA,,3419
2019/20,23,White Maize,RSA Export,ZIMBABWE,,906
2019/20,23,Yellow Maize,RSA Export,BOTSWANA,,1796
2019/20,23,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2767
2019/20,23,Yellow Maize,RSA Export,MOZAMBIQUE,,952
2019/20,23,Yellow Maize,RSA Export,NAMIBIA,,461
2019/20,23,Yellow Maize,RSA Export,ZIMBABWE,,934
2019/20,24,White Maize,RSA Export,BOTSWANA,,2061
2019/20,24,White Maize,RSA Export,ESWATINI (SWAZILAND),,485
2019/20,24,White Maize,RSA Export,LESOTHO,,1632
2019/20,24,White Maize,RSA Export,MOZAMBIQUE,,1423
2019/20,24,White Maize,RSA Export,NAMIBIA,,3935
2019/20,24,White Maize,RSA Export,ZIMBABWE,,64
2019/20,24,Yellow Maize,Import for RSA,ARGENTINA,,31907
2019/20,24,Yellow Maize,Import per Harbour,,Cape Town,31907
2019/20,24,Yellow Maize,RSA Export,BOTSWANA,,1386
2019/20,24,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2738
2019/20,24,Yellow Maize,RSA Export,LESOTHO,,26
2019/20,24,Yellow Maize,RSA Export,MOZAMBIQUE,,576
2019/20,24,Yellow Maize,RSA Export,NAMIBIA,,1105
2019/20,24,Yellow Maize,RSA Export,ZIMBABWE,,1137
2019/20,25,White Maize,RSA Export,BOTSWANA,,1858
2019/20,25,White Maize,RSA Export,ESWATINI (SWAZILAND),,688
2019/20,25,White Maize,RSA Export,LESOTHO,,1025
2019/20,25,White Maize,RSA Export,MOZAMBIQUE,,1655
2019/20,25,White Maize,RSA Export,NAMIBIA,,3500
2019/20,25,White Maize,RSA Export,ZIMBABWE,,34
2019/20,25,Yellow Maize,Import for RSA,BRAZIL,,36970
2019/20,25,Yellow Maize,Import per Harbour,,Cape Town,36970
2019/20,25,Yellow Maize,RSA Export,BOTSWANA,,1730
2019/20,25,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2333
2019/20,25,Yellow Maize,RSA Export,LESOTHO,,7
2019/20,25,Yellow Maize,RSA Export,MOZAMBIQUE,,689
2019/20,25,Yellow Maize,RSA Export,NAMIBIA,,1610
2019/20,25,Yellow Maize,RSA Export,ZIMBABWE,,68
2019/20,26,White Maize,RSA Export,BOTSWANA,,2814
2019/20,26,White Maize,RSA Export,ESWATINI (SWAZILAND),,1636
2019/20,26,White Maize,RSA Export,LESOTHO,,969
2019/20,26,White Maize,RSA Export,MOZAMBIQUE,,3160
2019/20,26,White Maize,RSA Export,NAMIBIA,,4034
2019/20,26,White Maize,RSA Export,ZIMBABWE,,135
2019/20,26,Yellow Maize,Export per Harbour,,Durban,462
2019/20,26,Yellow Maize,Import for RSA,BRAZIL,,13099
2019/20,26,Yellow Maize,Import per Harbour,,Cape Town,13099
2019/20,26,Yellow Maize,RSA Export,BOTSWANA,,2444
2019/20,26,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2440
2019/20,26,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,462
2019/20,26,Yellow Maize,RSA Export,MOZAMBIQUE,,1619
2019/20,26,Yellow Maize,RSA Export,NAMIBIA,,3117
2019/20,26,Yellow Maize,RSA Export,ZIMBABWE,,398
2019/20,27,White Maize,RSA Export,BOTSWANA,,3145
2019/20,27,White Maize,RSA Export,ESWATINI (SWAZILAND),,794
2019/20,27,White Maize,RSA Export,LESOTHO,,584
2019/20,27,White Maize,RSA Export,MOZAMBIQUE,,1945
2019/20,27,White Maize,RSA Export,NAMIBIA,,3741
2019/20,27,White Maize,RSA Export,ZIMBABWE,,34
2019/20,27,Yellow Maize,RSA Export,BOTSWANA,,1977
2019/20,27,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2187
2019/20,27,Yellow Maize,RSA Export,MOZAMBIQUE,,1337
2019/20,27,Yellow Maize,RSA Export,NAMIBIA,,1352
2019/20,27,Yellow Maize,RSA Export,ZIMBABWE,,582
2019/20,28,White Maize,Export per Harbour,,Durban,13260
2019/20,28,White Maize,RSA Export,BOTSWANA,,2492
2019/20,28,White Maize,RSA Export,ESWATINI (SWAZILAND),,912
2019/20,28,White Maize,RSA Export,LESOTHO,,2004
2019/20,28,White Maize,RSA Export,MOZAMBIQUE,,15034
2019/20,28,White Maize,RSA Export,NAMIBIA,,3470
2019/20,28,White Maize,RSA Export,ZIMBABWE,,1300
2019/20,28,Yellow Maize,Import for RSA,ARGENTINA,,13605
2019/20,28,Yellow Maize,Import per Harbour,,Cape Town,13605
2019/20,28,Yellow Maize,RSA Export,BOTSWANA,,1297
2019/20,28,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2291
2019/20,28,Yellow Maize,RSA Export,LESOTHO,,521
2019/20,28,Yellow Maize,RSA Export,MOZAMBIQUE,,1332
2019/20,28,Yellow Maize,RSA Export,NAMIBIA,,1022
2019/20,28,Yellow Maize,RSA Export,ZIMBABWE,,1501
2019/20,29,White Maize,Export per Harbour,,Durban,7831
2019/20,29,White Maize,RSA Export,BOTSWANA,,3570
2019/20,29,White Maize,RSA Export,ESWATINI (SWAZILAND),,1203
2019/20,29,White Maize,RSA Export,LESOTHO,,119
2019/20,29,White Maize,RSA Export,MOZAMBIQUE,,10670
2019/20,29,White Maize,RSA Export,NAMIBIA,,2767
2019/20,29,White Maize,RSA Export,ZIMBABWE,,2599
2019/20,29,Yellow Maize,Import for RSA,ARGENTINA,,11840
2019/20,29,Yellow Maize,Import per Harbour,,Cape Town,11840
2019/20,29,Yellow Maize,RSA Export,BOTSWANA,,1176
2019/20,29,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2054
2019/20,29,Yellow Maize,RSA Export,LESOTHO,,2167
2019/20,29,Yellow Maize,RSA Export,MOZAMBIQUE,,917
2019/20,29,Yellow Maize,RSA Export,NAMIBIA,,1151
2019/20,29,Yellow Maize,RSA Export,ZIMBABWE,,1230
2019/20,30,White Maize,RSA Export,BOTSWANA,,3696
2019/20,30,White Maize,RSA Export,ESWATINI (SWAZILAND),,1981
2019/20,30,White Maize,RSA Export,LESOTHO,,1111
2019/20,30,White Maize,RSA Export,MOZAMBIQUE,,2661
2019/20,30,White Maize,RSA Export,NAMIBIA,,4705
2019/20,30,White Maize,RSA Export,ZIMBABWE,,1036
2019/20,30,Yellow Maize,RSA Export,BOTSWANA,,1601
2019/20,30,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2525
2019/20,30,Yellow Maize,RSA Export,LESOTHO,,275
2019/20,30,Yellow Maize,RSA Export,MOZAMBIQUE,,1627
2019/20,30,Yellow Maize,RSA Export,NAMIBIA,,863
2019/20,30,Yellow Maize,RSA Export,ZIMBABWE,,1281
2019/20,31,White Maize,RSA Export,BOTSWANA,,4784
2019/20,31,White Maize,RSA Export,ESWATINI (SWAZILAND),,2084
2019/20,31,White Maize,RSA Export,LESOTHO,,1641
2019/20,31,White Maize,RSA Export,MOZAMBIQUE,,2163
2019/20,31,White Maize,RSA Export,NAMIBIA,,6554
2019/20,31,White Maize,RSA Export,ZIMBABWE,,1310
2019/20,31,Yellow Maize,Export per Harbour,,Durban,1450
2019/20,31,Yellow Maize,RSA Export,ANGOLA,,481
2019/20,31,Yellow Maize,RSA Export,BOTSWANA,,1627
2019/20,31,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2815
2019/20,31,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,969
2019/20,31,Yellow Maize,RSA Export,MOZAMBIQUE,,1549
2019/20,31,Yellow Maize,RSA Export,NAMIBIA,,2379
2019/20,31,Yellow Maize,RSA Export,ZIMBABWE,,925
2019/20,32,White Maize,RSA Export,BOTSWANA,,3912
2019/20,32,White Maize,RSA Export,ESWATINI (SWAZILAND),,1391
2019/20,32,White Maize,RSA Export,LESOTHO,,2210
2019/20,32,White Maize,RSA Export,MOZAMBIQUE,,1619
2019/20,32,White Maize,RSA Export,NAMIBIA,,4619
2019/20,32,White Maize,RSA Export,ZIMBABWE,,1651
2019/20,32,Yellow Maize,RSA Export,BOTSWANA,,425
2019/20,32,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2428
2019/20,32,Yellow Maize,RSA Export,LESOTHO,,536
2019/20,32,Yellow Maize,RSA Export,MOZAMBIQUE,,993
2019/20,32,Yellow Maize,RSA Export,NAMIBIA,,1563
2019/20,32,Yellow Maize,RSA Export,ZIMBABWE,,1240
2019/20,33,White Maize,RSA Export,BOTSWANA,,3732
2019/20,33,White Maize,RSA Export,ESWATINI (SWAZILAND),,1136
2019/20,33,White Maize,RSA Export,LESOTHO,,1314
2019/20,33,White Maize,RSA Export,MOZAMBIQUE,,2832
2019/20,33,White Maize,RSA Export,NAMIBIA,,4435
2019/20,33,White Maize,RSA Export,ZIMBABWE,,2333
2019/20,33,Yellow Maize,Import for RSA,ARGENTINA,,34883
2019/20,33,Yellow Maize,Import per Harbour,,Cape Town,34883
2019/20,33,Yellow Maize,RSA Export,BOTSWANA,,726
2019/20,33,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,3418
2019/20,33,Yellow Maize,RSA Export,LESOTHO,,412
2019/20,33,Yellow Maize,RSA Export,MOZAMBIQUE,,1469
2019/20,33,Yellow Maize,RSA Export,NAMIBIA,,1956
2019/20,33,Yellow Maize,RSA Export,ZIMBABWE,,1494
2019/20,34,White Maize,RSA Export,BOTSWANA,,3778
2019/20,34,White Maize,RSA Export,ESWATINI (SWAZILAND),,954
2019/20,34,White Maize,RSA Export,LESOTHO,,913
2019/20,34,White Maize,RSA Export,MOZAMBIQUE,,1656
2019/20,34,White Maize,RSA Export,NAMIBIA,,4668
2019/20,34,White Maize,RSA Export,ZIMBABWE,,3118
2019/20,34,Yellow Maize,Import for RSA,ARGENTINA,,5364
2019/20,34,Yellow Maize,Import per Harbour,,Cape Town,5364
2019/20,34,Yellow Maize,RSA Export,BOTSWANA,,599
2019/20,34,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1942
2019/20,34,Yellow Maize,RSA Export,MOZAMBIQUE,,1188
2019/20,34,Yellow Maize,RSA Export,NAMIBIA,,1437
2019/20,34,Yellow Maize,RSA Export,ZIMBABWE,,1162
2019/20,35,White Maize,RSA Export,BOTSWANA,,2477
2019/20,35,White Maize,RSA Export,ESWATINI (SWAZILAND),,502
2019/20,35,White Maize,RSA Export,LESOTHO,,162
2019/20,35,White Maize,RSA Export,MOZAMBIQUE,,1585
2019/20,35,White Maize,RSA Export,NAMIBIA,,2180
